"Title","Description","Price","Rank","Feedback"
Робот-пылесос iBoto Smart V720GW Aqua,"сухая и влажная уборка; контейнер для пыли 0.45 л и для воды 0.30 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; управление со смартфонапрограммирование по дням недели",18890,4.5,47
Робот-пылесос Xiaomi Dreame F9,"сухая и влажная уборка; контейнер для пыли 0.60 л и для воды 0.20 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 150 мин; управление со смартфона",20850,4.8,105
Робот-пылесос Weissgauff Robowash,"сухая и влажная уборка; контейнер для пыли 0.50 л и для воды 0.45 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 110 мин; управление со смартфона",14990,4.2,89
Робот-пылесос Xiaomi MiJia Sweeping Robot G1,"сухая и влажная уборка; контейнер для пыли 0.60 л и для воды 0.20 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 90 мин; управление со смартфона",11990,4.6,198
Робот-пылесос iBoto Aqua Х220G,"сухая и влажная уборка; контейнер для пыли 0.25 л и для воды 0.12 л; боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 120 мин; движение по спирали, движение зигзагом, движение вдоль стены",10890,4.5,29
Робот-пылесос Roborock E4 (RU),"сухая и влажная уборка; контейнер для пыли 0.64 л и для воды 0.18 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 180 мин; управление со смартфона",15490,4.8,47
Робот-пылесос Okami U90 Vision,"сухая и влажная уборка; контейнер для пыли 0.60 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 120 мин; управление со смартфона",29990,4.7,118
Робот-пылесос Weissgauff Robowash Vision,"сухая и влажная уборка; контейнер для пыли 0.50 л и для воды 0.45 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 140 мин; управление со смартфона",14990,4.3,89
Робот-пылесос Weissgauff Robowash Laser Map,"сухая и влажная уборка; контейнер для пыли 0.45 л и для воды 0.25 л; боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 180 мин; управление со смартфона",23990,NA,NA
Робот-пылесос iBoto Aqua V715B,"сухая и влажная уборка; контейнер для пыли 0.55 л и для воды 0.30 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 180 мин; движение по спирали, движение зигзагом, движение вдоль стены",13390,4.7,76
Робот-пылесос Okami U100 Laser Plus,"сухая и влажная уборка; контейнер для пыли 0.60 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 120 мин; управление со смартфона",42980,4.7,75
Робот-пылесос Roborock S6 Pure,"сухая и влажная уборка; контейнер для пыли 0.46 л и для воды 0.18 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 180 мин; управление со смартфона",30990,4.8,89
Робот-пылесос iBoto Smart X320G Aqua,"сухая и влажная уборка; контейнер для пыли 0.30 л и для водыбоковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 120 мин; программирование по дням недели",12990,4.8,8
Робот-пылесос iBoto Smart L920W Aqua,"сухая и влажная уборка; контейнер для пыли 0.45 л и для воды 0.30 л; боковая щетка в комплекте; управление со смартфонапрограммирование по дням недели",29690,4.6,39
Робот-пылесос LG VRF6640LVR,"сухая уборка; контейнер для пыли 0.60 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 100 мин; управление со смартфона",25970,4.4,24
Робот-пылесос Xiaomi Xiaowa E202-00 Robot Vacuum Cleaner Lite,"сухая и влажная уборка; контейнер для пыли 0.64 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 90 мин; управление со смартфона",18590,4.8,128
Робот-пылесос iBoto Smart X610G Aqua,"сухая и влажная уборка; контейнер для пыли 0.45 л и для воды 0.35 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 120 мин; программирование по дням недели",12350,4.7,104
Робот-пылесос Kitfort KT-531,"сухая уборка; контейнер для пыли 0.20 л; боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 60 мин; движение вдоль стены",4990,4.7,435
Робот-пылесос REDMOND RV-R150,"сухая и влажная уборка; контейнер для пыли 0.35 л; боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 120 мин; движение по спирали, движение зигзагом, движение вдоль стены",13690,4.8,72
Робот-пылесос iLife W450,"влажная уборка; работа от аккумулятора: до 80 мин; управление со смартфонапрограммирование по дням неделипостроение карты помещения",17990,NA,NA
Робот-пылесос Roborock S6 MaxV (RU),"сухая и влажная уборка; контейнер для пыли 0.46 л и для воды 0.30 лтурбощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 180 мин; управление со смартфона",52990,4.8,47
Робот-пылесос Roborock S5 MAX (Global),"сухая и влажная уборка; контейнер для пыли 0.46 л и для воды 0.28 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 180 мин; управление со смартфона",34490,4.8,72
Робот-пылесос Polaris PVCR 1226,"сухая и влажная уборка; контейнер для пыли 0.20 л и для воды 0.30 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 120 мин; программирование по дням недели",12790,4.9,14
Робот-пылесос Polaris PVCR 1090 Space Sense Aqua,"сухая и влажная уборкаэлектрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 120 мин; движение по спирали, движение вдоль стены; инфракрасные датчики",13490,5,31
Робот-пылесос Ecovacs Ozmo 950,"сухая и влажная уборка; контейнер для пыли 0.47 л и для воды 0.24 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 200 мин; управление со смартфона",36634,5,36
Робот-пылесос Ecovacs DeeBot OZMO 900,"сухая и влажная уборка; контейнер для пыли 0.45 л и для воды 0.24 лтурбощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 90 мин; управление со смартфона",19990,4.7,115
Робот-пылесос iBoto Smart C820W Aqua,"сухая и влажная уборка; контейнер для пыли 0.45 л и для воды 0.35 л; боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 120 мин; управление со смартфона",18599,4.4,56
Робот-пылесос Xiaomi Viomi Cleaning robot,"сухая и влажная уборка; контейнер для пыли 0.56 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 180 мин; управление со смартфона",27314,4.6,96
Робот-пылесос Kitfort KT-518,"сухая уборка; контейнер для пыли 0.30 л; боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 130 мин; движение по спирали, движение зигзагом, движение вдоль стены",12690,4.8,225
Робот-пылесос LG CordZero R9MASTER,"сухая уборка; контейнер для пыли 0.60 л; электрощетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 90 мин; управление со смартфона",92690,4.5,19
Робот-пылесос Xiaomi Xiaowa Robot Vacuum Cleaner Lite C102-00,"сухая уборка; контейнер для пыли 0.64 лтурбощетка, электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 60 мин; управление со смартфона",12480,4.8,70
Робот-пылесос Roborock S6/T6,"сухая и влажная уборка; контейнер для пыли и для воды 0.16 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 150 мин; управление со смартфона",29990,4.8,67
Робот-пылесос Roborock S6 MaxV (Global),"сухая и влажная уборка; боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 180 мин; управление со смартфона; построение карты помещения",49900,4.9,20
Робот-пылесос iLife A80 Pro,"сухая и влажная уборка; контейнер для пыли 0.45 л и для воды 0.30 лфильтр тонкой очистки в комплекте; работа от аккумулятора: до 100 мин; управление со смартфона",17590,NA,NA
Робот-пылесос Polaris PVCR 3200 IQ Home Aqua,"сухая и влажная уборка; контейнер для пыли 0.20 л и для воды 0.30 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 150 мин; управление со смартфона",19680,4.9,123
Робот-пылесос REDMOND RV-R650S,"сухая и влажная уборка; контейнер для пыли 0.45 л и для водыэлектрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 140 мин; управление со смартфона",15740,4.5,61
Робот-пылесос Philips FC8796 SmartPro Easy,"сухая и влажная уборка; контейнер для пыли 0.40 л; боковая щетка в комплекте; работа от аккумулятора: до 115 мин; движение вдоль стены",9620,4.5,58
Робот-пылесос Polaris PVCR 1020 FusionPRO,"сухая уборка; контейнер для пыли 0.50 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 120 мин; программирование по дням недели",11870,4.9,39
Робот-пылесос iBoto Smart N520GT Aqua,"сухая и влажная уборка; контейнер для пыли 0.40 л и для воды 0.08 л; боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 120 мин; управление со смартфона",14990,4.7,6
Робот-пылесос iLife V55 Pro,"сухая и влажная уборка; контейнер для пыли 0.30 л и для воды 0.18 л; боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 120 мин; программирование по дням недели",10090,4.7,10
Робот-пылесос Kitfort KT-533,"сухая и влажная уборка; контейнер для пыли 0.30 л и для воды 0.30 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 120 мин; движение вдоль стены",12850,4.8,509
Робот-пылесос iLife A7,"сухая уборка; контейнер для пыли 0.60 л; электрощетка, боковая щетка в комплекте; работа от аккумулятора: до 150 мин; управление со смартфона",9990,4.7,5
Робот-пылесос Polaris PVCR 0930 SmartGo,"сухая и влажная уборка; контейнер для пыли 0.20 л и для воды 0.30 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплектепрограммирование по дням неделипостроение карты помещения",15935,4.8,36
Робот-пылесос Polaris PVCR 3300 IQ Home Aqua,"сухая и влажная уборка; контейнер для пыли 0.20 л и для воды 0.30 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 120 мин; управление со смартфона",23679,5,7
Робот-пылесос Polaris PVCR 1026,"сухая уборка; контейнер для пыли 0.50 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 120 мин; программирование по дням недели",9825,4.9,8
Робот-пылесос iRobot Braava 380T,"влажная уборка; контейнер для воды; работа от аккумулятора: до 240 минпостроение карты помещениядвижение зигзагом, движение вдоль стены",3699,4.1,21
Робот-пылесос Tefal RG6875,"сухая и влажная уборка; контейнер для пыли 0.25 л; боковая щетка в комплекте; работа от аккумулятора: до 150 мин; программирование по дням недели",13850,4.6,16
Робот-пылесос Tefal RG6825WH,"сухая уборка; контейнер для пыли 0.25 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 150 мин; программирование по дням недели",8997,4.3,30
Робот-пылесос Tefal RG7765WH,"сухая и влажная уборка; контейнер для пыли 0.70 л и для водытурбощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 90 мин; управление со смартфона",33995,4.4,17
Робот-пылесос 360 S5,"сухая уборка; контейнер для пыли 0.55 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 110 мин; управление со смартфона",15069,5,2
Робот-пылесос iLife V50 Pro,"сухая уборка; контейнер для пыли 0.30 л; боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 120 мин; программирование по дням недели",7190,4.5,17
Робот-пылесос Xiaomi Viomi Cleaning Robot V3,"сухая и влажная уборка; контейнер для пыли 0.55 л и для воды 0.55 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 170 мин; управление со смартфона",29550,4.6,24
Робот-пылесос iLife V50,"сухая уборка; контейнер для пыли 0.30 л; боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 110 мин; движение по спирали, движение зигзагом, движение вдоль стены",6390,4.6,43
Робот-пылесос Roborock E4 (Global),"сухая и влажная уборка; контейнер для пыли 0.64 л и для воды 0.18 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 180 мин; управление со смартфона",15667,4.6,7
Робот-пылесос iRobot Roomba 676,"сухая уборка; контейнер для пыли 0.60 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 60 мин; управление со смартфона",14090,4.7,76
Робот-пылесос Ecovacs DeeBot D500,"сухая уборка; контейнер для пыли 0.52 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 110 мин; управление со смартфона",15490,4.8,4
Робот-пылесос Hyundai H-VCRQ90,"сухая и влажная уборкаэлектрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 120 мин; управление со смартфона; построение карты помещения",12125,NA,NA
Робот-пылесос Hyundai H-VCRX30,"сухая и влажная уборка; контейнер для пыли 0.40 л; боковая щетка в комплекте; работа от аккумулятора: до 100 мин; движение по спирали, движение вдоль стены",11990,4.3,28
Робот-пылесос ELARI SmartBot Turbo SBT-002T,"сухая и влажная уборка; контейнер для пыли 0.50 л и для воды 0.40 л; электрощетка, боковая щетка в комплекте; работа от аккумулятора: до 120 мин; управление со смартфона",6990,4.7,49
Робот-пылесос ELARI SmartBot Lite SBT-002A,"сухая и влажная уборка; контейнер для пыли 0.30 л и для воды 0.22 лработа от аккумулятора: до 110 мин; управление со смартфона; ШхГхВ: 32x32x7.60 см",6990,4,6
Робот-пылесос LG VR6690LVTM,"сухая уборка; контейнер для пыли 0.60 лработа от аккумулятора: до 100 мин; управление со смартфонадвижение по спирали, движение зигзагом",34990,NA,NA
Робот-пылесос iLife W400,"влажная уборка; контейнер для пыли 0.90 л и для воды 0.85 л; электрощетка в комплекте; работа от аккумулятора: до 100 мин; движение по спирали, движение зигзагом, движение вдоль стены",14440,4.3,41
Робот-пылесос Midea VCR08,"контейнер для пыли 0.45 л и для воды 0.45 л; электрощетка, боковая щетка, фильтр тонкой очистки в комплекте; управление со смартфонадвижение зигзагом, движение вдоль стены; ШхГхВ: 34x34x9 см",8990,4.2,31
Робот-пылесос Tefal RG7447WH,"сухая и влажная уборка; контейнер для пыли 0.40 л и для водыэлектрощетка, боковая щетка, фильтр тонкой очистки в комплекте; работа от аккумулятора: до 90 мин; управление со смартфона",17650,3.4,8
Робот-пылесос Tefal RG7267WH,"сухая и влажная уборка; контейнер для пыли 0.25 л и для водытурбощетка, боковая щетка в комплекте; работа от аккумулятора: до 150 мин; управление со смартфона",16740,4.5,6
Робот-пылесос GUTREND FUSION 150,"сухая и влажная уборка; контейнер для пыли 0.45 л; электрощетка, боковая щетка в комплекте; работа от аккумулятора: до 150 мин; программирование по дням недели",15990,4.8,145
